Obec_Kod,Obec_Nazev,registered,envelopes,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
513482,Vysoký Újezd,163,113,113,1,0,12,0,20,5,0,1,4,3,3,11,0
529303,Benešov,13104,8485,8437,6,2,597,11,1052,35,3,802,112,109,948,624,10
529451,Bystřice,3490,2206,2200,1,2,136,1,204,12,0,158,11,25,223,187,6
529478,Čakov,93,71,71,0,0,3,0,7,0,0,8,2,0,6,6,0
529486,Čechtice,1140,750,744,0,1,75,0,70,6,2,50,15,5,58,54,1
529516,Čerčany,2195,1453,1443,0,0,66,1,200,11,1,126,15,22,191,97,1
529532,Červený Újezd,258,187,187,0,0,15,2,13,2,0,13,3,3,23,5,0
529541,Český Šternberk,129,82,82,0,0,3,0,9,0,0,6,1,1,6,3,0
529567,Čtyřkoly,539,403,400,2,0,15,0,72,2,1,43,11,1,46,20,0
529621,Divišov,1305,830,816,2,0,78,1,52,7,1,86,14,3,76,60,0
529648,Dolní Kralovice,727,445,445,0,0,66,0,24,2,0,24,9,8,47,45,0
529702,Heřmaničky,571,375,374,0,0,39,0,27,3,0,34,0,4,25,22,1
529737,Hulice,237,173,173,0,0,20,0,20,0,0,11,2,1,12,11,0
529745,Hvězdonice,257,189,189,1,0,14,0,23,4,0,13,1,1,32,6,1
529770,Chlum,112,87,87,0,0,6,0,5,0,0,5,0,0,4,3,0
529788,Chmelná,112,95,95,0,0,0,0,4,1,0,4,0,1,11,8,0
529796,Chocerady,991,664,659,0,1,51,2,74,4,0,42,12,9,119,50,1
529818,Chotýšany,434,294,292,1,0,16,0,27,5,0,31,6,1,35,29,0
529842,Jankov,748,430,429,0,0,34,0,23,2,1,51,5,3,49,28,0
529851,Javorník,104,79,79,0,0,5,0,3,1,0,7,0,2,9,11,0
529907,Keblov,155,99,99,0,0,10,0,10,1,0,8,1,0,6,10,0
529931,Kondrac,383,272,267,0,0,24,1,28,6,0,29,1,1,28,35,2
529940,Kozmice,241,171,170,0,0,13,0,21,5,0,6,2,2,19,12,0
529958,Krhanice,765,505,502,0,0,27,1,70,3,0,58,7,7,68,20,1
529974,Krňany,361,242,241,0,0,20,1,38,0,0,12,6,2,27,10,1
529991,Křečovice,632,451,448,1,1,40,0,30,5,0,47,0,8,55,24,0
530000,Křivsoudov,351,222,222,0,0,11,3,17,1,0,19,3,4,41,16,0
530026,Kuňovice,66,61,61,0,0,3,0,5,0,0,6,0,0,3,3,0
530051,Lešany,567,371,370,2,0,39,1,37,1,0,31,13,6,40,13,0
